,Description,Max score,Total score,Query cover,E value,Ident,Accession,,
Select seq WP_066506771.1,glycosyl hydrolase [Rufibacter sp. DG15C],292,292,0.8,3.00E-91,0.35,WP_066506771.1,,
Select seq WP_068337381.1,glycosyl hydrolase [Hymenobacter sp. PAMC 26554],291,291,0.8,4.00E-91,0.35,WP_068337381.1,,
Select seq XP_009526931.1,putative glycoside hydrolase family 30 protein [Phytophthora sojae],290,290,0.79,7.00E-91,0.35,XP_009526931.1,,
Select seq WP_089353058.1,glycosyl hydrolase [Flavobacterium sp. ov086],290,290,0.83,8.00E-91,0.35,WP_089353058.1,,
Select seq WP_115816566.1,glycosyl hydrolase [Winogradskyella eximia],290,290,0.8,1.00E-90,0.35,WP_115816566.1,,
Select seq WP_124914523.1,glycosyl hydrolase [Pedobacter sp. G11],290,290,0.79,1.00E-90,0.35,WP_124914523.1,,
Select seq WP_111476059.1,glycosyl hydrolase [Hymenobacter sp. NL],290,290,0.86,2.00E-90,0.35,WP_111476059.1,,
Select seq WP_056872601.1,glycosyl hydrolase [Pedobacter sp. Leaf194],290,290,0.79,2.00E-90,0.35,WP_056872601.1,,
Select seq WP_099153637.1,glycosyl hydrolase family 30 [Lewinella nigricans],290,290,0.85,2.00E-90,0.35,WP_099153637.1,,
Select seq WP_116168031.1,glycosyl hydrolase [Pedobacter sp. YR510],289,289,0.79,2.00E-90,0.35,WP_116168031.1,,
Select seq WP_010601754.1,glycosyl hydrolase [Pedobacter agri],289,289,0.79,3.00E-90,0.35,WP_010601754.1,,
Select seq WP_091054864.1,glycosyl hydrolase [Opitutus sp. GAS368],288,288,0.78,3.00E-90,0.35,WP_091054864.1,,
Select seq WP_043852480.1,glucosylceramidase [Clostridium butyricum],288,288,0.78,4.00E-90,0.35,WP_043852480.1,,
Select seq WP_044516519.1,glycosyl hydrolase [Hymenobacter sp. DG25B],289,289,0.8,4.00E-90,0.35,WP_044516519.1,,
Select seq WP_046057278.1,MULTISPECIES: glucosylceramidase [Clostridium],287,287,0.78,4.00E-90,0.35,WP_046057278.1,,
Select seq WP_056096616.1,glycosyl hydrolase [Pedobacter sp. Leaf176],288,288,0.79,5.00E-90,0.35,WP_056096616.1,,
Select seq WP_082113241.1,glycosyl hydrolase [Kordia jejudonensis],288,288,0.8,7.00E-90,0.35,WP_082113241.1,,
Select seq WP_110837567.1,MULTISPECIES: glycosyl hydrolase [Flavobacterium],287,287,0.83,1.00E-89,0.35,WP_110837567.1,,
Select seq WP_088301660.1,glycosyl hydrolase [Pedobacter sp. AJM],287,287,0.79,1.00E-89,0.35,WP_088301660.1,,
Select seq WP_043663946.1,glucosylceramidase [Clostridium butyricum],286,286,0.79,2.00E-89,0.35,WP_043663946.1,,
Select seq WP_008503971.1,glycosyl hydrolase [Mucilaginibacter paludis],287,287,0.8,2.00E-89,0.35,WP_008503971.1,,
Select seq WP_090500479.1,glycosyl hydrolase [Pedobacter terrae],287,287,0.79,2.00E-89,0.35,WP_090500479.1,,
Select seq WP_027636585.1,glucosylceramidase [Clostridium butyricum],286,286,0.78,2.00E-89,0.35,WP_027636585.1,,
Select seq WP_062037691.1,glycosyl hydrolase [Lentimicrobium saccharophilum],286,286,0.8,2.00E-89,0.35,WP_062037691.1,,
Select seq WP_090889314.1,glycosyl hydrolase [Pedobacter rhizosphaerae],287,287,0.79,2.00E-89,0.35,WP_090889314.1,,
Select seq WP_076686447.1,glycosyl hydrolase [Polaribacter reichenbachii],286,286,0.8,3.00E-89,0.35,WP_076686447.1,,
Select seq WP_045143731.1,glucosylceramidase [Clostridium butyricum],285,285,0.78,4.00E-89,0.35,WP_045143731.1,,
Select seq WP_114631347.1,glucosylceramidase [Oceanispirochaeta sp. M1],285,285,0.79,4.00E-89,0.35,WP_114631347.1,,
Select seq WP_055904651.1,glycosyl hydrolase [Pedobacter sp. Leaf216],285,285,0.79,7.00E-89,0.35,WP_055904651.1,,
Select seq WP_071636224.1,glycosyl hydrolase [Flavobacterium johnsoniae],285,285,0.81,8.00E-89,0.35,WP_071636224.1,,
Select seq WP_124559120.1,glycosyl hydrolase [Pedobacter sp. KBW01],285,285,0.79,8.00E-89,0.35,WP_124559120.1,,
Select seq WP_078351443.1,glycosyl hydrolase [Mucilaginibacter pedocola],285,285,0.8,9.00E-89,0.35,WP_078351443.1,,
Select seq WP_066404655.1,glycosyl hydrolase [Flavisolibacter tropicus],285,285,0.79,9.00E-89,0.35,WP_066404655.1,,
Select seq WP_117390979.1,glycosyl hydrolase [Mucilaginibacter sp. MYSH2],285,285,0.81,9.00E-89,0.35,WP_117390979.1,,
Select seq WP_056850049.1,glycosyl hydrolase [Pedobacter sp. Leaf41],285,285,0.79,1.00E-88,0.35,WP_056850049.1,,
Select seq WP_074419608.1,glycosyl hydrolase [Hydrotalea flava],285,285,0.8,1.00E-88,0.35,WP_074419608.1,,
Select seq WP_066834085.1,glycosyl hydrolase [Rufibacter ruber],285,285,0.8,1.00E-88,0.35,WP_066834085.1,,
Select seq WP_096055187.1,glycosyl hydrolase [Verrucomicrobia bacterium],284,284,0.8,1.00E-88,0.35,WP_096055187.1,,
Select seq WP_069377847.1,glycosyl hydrolase [Pedobacter steynii],284,284,0.8,1.00E-88,0.35,WP_069377847.1,,
Select seq WP_091091409.1,glycosyl hydrolase [Flavobacterium gillisiae],284,284,0.8,2.00E-88,0.35,WP_091091409.1,,
Select seq WP_107834819.1,glycosyl hydrolase [Opitutus sp. ER46],284,284,0.8,2.00E-88,0.35,WP_107834819.1,,
Select seq WP_029285371.1,glycosyl hydrolase [Pedobacter sp. R20-19],284,284,0.79,2.00E-88,0.35,WP_029285371.1,,
Select seq WP_039472201.1,glycosyl hydrolase [Pedobacter kyungheensis],284,284,0.79,2.00E-88,0.35,WP_039472201.1,,
Select seq WP_073233992.1,glycosyl hydrolase [Pedobacter caeni],284,284,0.8,2.00E-88,0.35,WP_073233992.1,,
Select seq WP_074912610.1,glucosylceramidase [Proteiniclasticum ruminis],283,283,0.79,3.00E-88,0.35,WP_074912610.1,,
Select seq WP_035561901.1,glycosyl hydrolase [Hymenobacter sp. IS2118],284,284,0.8,4.00E-88,0.35,WP_035561901.1,,
Select seq WP_113947229.1,glycosyl hydrolase [Pedobacter sp. RS10],284,284,0.79,4.00E-88,0.35,WP_113947229.1,,
Select seq WP_025146628.1,glycosyl hydrolase [Pedobacter jeongneungensis],284,284,0.79,4.00E-88,0.35,WP_025146628.1,,
Select seq WP_068823111.1,glycosyl hydrolase [Pedobacter psychrophilus],284,284,0.8,5.00E-88,0.35,WP_068823111.1,,
Select seq WP_054284222.1,glycosyl hydrolase [Chitinophagaceae bacterium PMP191F],283,283,0.79,6.00E-88,0.35,WP_054284222.1,,
Select seq WP_116849232.1,glycosyl hydrolase [Chitinophagaceae bacterium K23C18032701],283,283,0.78,7.00E-88,0.35,WP_116849232.1,,
Select seq WP_044639507.1,glycosyl hydrolase [Siansivirga zeaxanthinifaciens],283,283,0.81,9.00E-88,0.35,WP_044639507.1,,
Select seq WP_109928520.1,glycosyl hydrolase [Pedobacter sp. R-8],282,282,0.79,1.00E-87,0.35,WP_109928520.1,,
Select seq WP_086545894.1,glycosyl hydrolase [Sphingobacteriaceae bacterium GW460-11-11-14-LB5],281,281,0.79,2.00E-87,0.35,WP_086545894.1,,
Select seq WP_106604654.1,glycosyl hydrolase [Chitinophaga ginsengisoli],281,281,0.8,4.00E-87,0.35,WP_106604654.1,,
Select seq WP_109924610.1,glycosyl hydrolase [Pedobacter yonginense],281,281,0.79,5.00E-87,0.35,WP_109924610.1,,
Select seq WP_121952296.1,glycosyl hydrolase [Pedobacter sp. CF523],280,280,0.79,6.00E-87,0.35,WP_121952296.1,,
Select seq WP_119053250.1,glycosyl hydrolase [Pseudoflavitalea sp. 5GH32-13],280,280,0.79,6.00E-87,0.35,WP_119053250.1,,
Select seq WP_070739940.1,glycosyl hydrolase [Hymenobacter coccineus],281,281,0.86,7.00E-87,0.35,WP_070739940.1,,
Select seq WP_039138686.1,glycosyl hydrolase [Flavihumibacter solisilvae],281,281,0.79,7.00E-87,0.35,WP_039138686.1,,
Select seq WP_121313821.1,glycosyl hydrolase [Flavobacterium sp. 102],280,280,0.8,7.00E-87,0.35,WP_121313821.1,,
Select seq WP_108687891.1,glycosyl hydrolase [Chitinophaga parva],280,280,0.8,1.00E-86,0.35,WP_108687891.1,,
Select seq WP_035644475.1,glycosyl hydrolase [Flavobacterium sp. Fl],280,280,0.79,1.00E-86,0.35,WP_035644475.1,,
Select seq WP_083490014.1,glycosyl hydrolase [Stenotrophomonas daejeonensis],277,277,0.79,4.00E-86,0.35,WP_083490014.1,,
Select seq WP_097553523.1,glycosyl hydrolase [Flavobacterium branchiophilum],278,278,0.8,5.00E-86,0.35,WP_097553523.1,,
Select seq WP_014083868.1,glycosyl hydrolase [Flavobacterium branchiophilum],278,278,0.8,5.00E-86,0.35,WP_014083868.1,,
Select seq WP_107830175.1,glycosyl hydrolase [Mucilaginibacter yixingensis],277,277,0.8,7.00E-86,0.35,WP_107830175.1,,
Select seq WP_073369563.1,glycosyl hydrolase [Flavobacterium fluvii],277,277,0.79,8.00E-86,0.35,WP_073369563.1,,
Select seq WP_103191537.1,glycosyl hydrolase [Formosa algae],277,277,0.79,1.00E-85,0.35,WP_103191537.1,,
Select seq WP_026334662.1,glycosyl hydrolase [Oxalobacteraceae bacterium AB_14],277,277,0.79,1.00E-85,0.35,WP_026334662.1,,
Select seq WP_012794299.1,glycosyl hydrolase [Chitinophaga pinensis],276,276,0.8,2.00E-85,0.35,WP_012794299.1,,
Select seq WP_116725883.1,glycosyl hydrolase [Flavobacterium sp. RB1R5],276,276,0.8,2.00E-85,0.35,WP_116725883.1,,
Select seq WP_104000073.1,glycosyl hydrolase [Flavobacterium urumqiense],276,276,0.8,2.00E-85,0.35,WP_104000073.1,,
Select seq WP_119569079.1,glucosylceramidase [Inordinaticella fortuita],275,275,0.78,2.00E-85,0.35,WP_119569079.1,,
Select seq WP_111411581.1,glycosyl hydrolase [Flavobacterium sp. IMCC34762],275,275,0.8,5.00E-85,0.35,WP_111411581.1,,
Select seq WP_089779138.1,glycosyl hydrolase [Chitinophaga sp. YR573],275,275,0.8,8.00E-85,0.35,WP_089779138.1,,
Select seq WP_101137319.1,glycosyl hydrolase [Flavobacterium sp. ALD4],275,275,0.8,9.00E-85,0.35,WP_101137319.1,,
Select seq WP_108549817.1,glycosyl hydrolase [Pedobacter sp. HMWF019],274,274,0.8,1.00E-84,0.35,WP_108549817.1,,
Select seq WP_012374110.1,glycosyl hydrolase [Opitutus terrae],274,274,0.79,2.00E-84,0.35,WP_012374110.1,,
Select seq XP_016926551.1,PREDICTED: glucosylceramidase-like [Drosophila suzukii],272,272,0.75,5.00E-84,0.35,XP_016926551.1,,
Select seq WP_075079337.1,glucosylceramidase [Terrimicrobium sacchariphilum],270,270,0.78,2.00E-83,0.35,WP_075079337.1,,
Select seq WP_090652370.1,glycosyl hydrolase [Mucilaginibacter sp. OK283],271,271,0.8,2.00E-83,0.35,WP_090652370.1,,
Select seq WP_108206172.1,glycosyl hydrolase [Pedobacter sp. YR016],271,271,0.79,2.00E-83,0.35,WP_108206172.1,,
Select seq WP_073402856.1,glycosyl hydrolase [Mucilaginibacter sp. OK098],270,270,0.8,7.00E-83,0.35,WP_073402856.1,,
Select seq WP_094572290.1,glycosyl hydrolase [Mucilaginibacter sp. BJC16-A31],269,269,0.8,2.00E-82,0.35,WP_094572290.1,,
Select seq WP_098192525.1,glycosyl hydrolase [Chitinophaga caeni],269,269,0.79,3.00E-82,0.35,WP_098192525.1,,
Select seq WP_071943747.1,hypothetical protein [Halomonas aestuarii],263,263,0.79,1.00E-80,0.35,WP_071943747.1,,
Select seq XP_026488600.1,glucosylceramidase-like [Vanessa tameamea],218,218,0.52,5.00E-65,0.35,XP_026488600.1,,
Select seq XP_012197508.1,hypothetical protein SPRG_03538 [Saprolegnia parasitica CBS 223.65],224,285,0.8,2.00E-63,0.35,XP_012197508.1,,
Select seq XP_002896568.1,"glucosylceramidase, putative [Phytophthora infestans T30-4]",139,139,0.43,9.00E-35,0.35,XP_002896568.1,,
Select seq XP_018795622.1,PREDICTED: glucosylceramidase-like [Bactrocera latifrons],116,116,0.28,6.00E-26,0.35,XP_018795622.1,,
Select seq XP_011204064.1,PREDICTED: glucosylceramidase [Bactrocera dorsalis],114,114,0.26,3.00E-25,0.35,XP_011204064.1,,
Select seq WP_118108942.1,hypothetical protein [Roseburia inulinivorans],110,110,0.19,4.00E-25,0.35,WP_118108942.1,,
Select seq XP_014100079.1,PREDICTED: glucosylceramidase-like [Bactrocera oleae],105,105,0.26,3.00E-22,0.35,XP_014100079.1,,
Select seq XP_002783719.1,"glucosylceramidase, putative [Perkinsus marinus ATCC 50983]",72.8,72.8,0.25,5.00E-12,0.35,XP_002783719.1,,
Select seq XP_012206259.1,hypothetical protein SPRG_11814 [Saprolegnia parasitica CBS 223.65],55.3,55.3,0.15,6.00E-05,0.35,XP_012206259.1,,
Select seq XP_002773122.1,"glucosylceramidase, putative [Perkinsus marinus ATCC 50983]",52.3,52.3,0.15,7.00E-05,0.35,XP_002773122.1,,
Select seq XP_022124127.1,putative glucosylceramidase 3 [Pieris rapae],369,369,0.95,6.00E-121,0.36,XP_022124127.1,,
Select seq XP_017875581.1,glucosylceramidase-like [Ceratina calcarata],361,361,0.94,3.00E-118,0.36,XP_017875581.1,,
Select seq XP_022202815.1,putative glucosylceramidase 4 [Nilaparvata lugens],359,359,0.94,3.00E-117,0.36,XP_022202815.1,,
Select seq XP_025016215.1,putative glucosylceramidase 3 [Tetranychus urticae],358,358,0.92,2.00E-116,0.36,XP_025016215.1,,
Select seq XP_015781445.2,putative glucosylceramidase 4 [Tetranychus urticae],355,355,0.95,2.00E-115,0.36,XP_015781445.2,,
Select seq XP_015783277.1,putative glucosylceramidase 2 isoform X1 [Tetranychus urticae],353,353,0.95,1.00E-114,0.36,XP_015783277.1,,
Select seq XP_003402892.1,LOW QUALITY PROTEIN: glucosylceramidase [Bombus terrestris],351,351,0.95,5.00E-114,0.36,XP_003402892.1,,
Select seq XP_021182452.1,glucosylceramidase-like [Helicoverpa armigera],349,349,0.91,3.00E-113,0.36,XP_021182452.1,,
Select seq XP_026273891.1,glucosylceramidase-like [Frankliniella occidentalis],349,349,0.91,1.00E-112,0.36,XP_026273891.1,,
Select seq XP_009526939.1,putative glycoside hydrolase family 30 protein beta-glucosidase/xylosidase [Phytophthora sojae],347,347,0.89,3.00E-112,0.36,XP_009526939.1,,
Select seq XP_021961268.1,glucosylceramidase-like [Folsomia candida],345,345,0.94,8.00E-112,0.36,XP_021961268.1,,
Select seq XP_024576748.1,glycoside hydrolase family 30 protein beta-glucosidase xylosidase [Plasmopara halstedii],337,337,0.89,3.00E-108,0.36,XP_024576748.1,,
Select seq XP_008902348.1,hypothetical protein PPTG_09217 [Phytophthora parasitica INRA-310],336,336,0.89,4.00E-108,0.36,XP_008902348.1,,
Select seq XP_018564712.1,putative glucosylceramidase 3 [Anoplophora glabripennis],334,334,0.9,1.00E-107,0.36,XP_018564712.1,,
Select seq XP_019532306.1,PREDICTED: glucosylceramidase-like [Aedes albopictus],336,336,0.91,1.00E-107,0.36,XP_019532306.1,,
Select seq XP_008902341.1,hypothetical protein PPTG_09210 [Phytophthora parasitica INRA-310],334,334,0.89,6.00E-107,0.36,XP_008902341.1,,
Select seq XP_019534823.1,PREDICTED: glucosylceramidase-like [Aedes albopictus],334,334,0.91,8.00E-107,0.36,XP_019534823.1,,
Select seq WP_068782372.1,glucosylceramidase [Paenibacillus sp. GM2],326,326,0.86,5.00E-105,0.36,WP_068782372.1,,
Select seq WP_042172397.1,glucosylceramidase [Paenibacillus sp. FSL R7-0331],323,323,0.84,4.00E-104,0.36,WP_042172397.1,,
Select seq XP_021964873.1,glucosylceramidase-like [Folsomia candida],325,325,0.92,4.00E-104,0.36,XP_021964873.1,,
Select seq XP_018007357.1,PREDICTED: glucosylceramidase-like [Hyalella azteca],325,325,0.91,7.00E-104,0.36,XP_018007357.1,,
Select seq WP_090713429.1,glucosylceramidase [Paenibacillus typhae],320,320,0.84,7.00E-103,0.36,WP_090713429.1,,
Select seq XP_001846785.1,glucosylceramidase [Culex quinquefasciatus],322,322,0.92,1.00E-102,0.36,XP_001846785.1,,
Select seq WP_066374780.1,glucosylceramidase [Bacillus sp. FJAT-27264],318,318,0.83,3.00E-102,0.36,WP_066374780.1,,
Select seq XP_001357822.2,uncharacterized protein Dpse_GA16046 [Drosophila pseudoobscura pseudoobscura],322,322,0.8,3.00E-102,0.36,XP_001357822.2,,
Select seq XP_002896569.1,"glucosylceramidase, putative [Phytophthora infestans T30-4]",320,320,0.91,3.00E-102,0.36,XP_002896569.1,,
Select seq XP_017084217.1,PREDICTED: glucosylceramidase [Drosophila eugracilis],322,322,0.8,4.00E-102,0.36,XP_017084217.1,,
Select seq WP_042184446.1,glucosylceramidase [Paenibacillus sp. FSL H7-0737],317,317,0.83,7.00E-102,0.36,WP_042184446.1,,
Select seq WP_042210247.1,glucosylceramidase [Paenibacillus borealis],317,317,0.81,7.00E-102,0.36,WP_042210247.1,,
Select seq XP_002020156.1,glucosylceramidase [Drosophila persimilis],321,321,0.8,7.00E-102,0.36,XP_002020156.1,,
Select seq XP_022209683.1,glucosylceramidase [Drosophila obscura],321,321,0.8,9.00E-102,0.36,XP_022209683.1,,
Select seq WP_068723696.1,glucosylceramidase [Paenibacillus sp. DMB5],317,317,0.84,2.00E-101,0.36,WP_068723696.1,,
Select seq WP_054943148.1,glucosylceramidase [Paenibacillus ihuae],316,316,0.85,3.00E-101,0.36,WP_054943148.1,,
Select seq WP_068717356.1,glucosylceramidase [Orenia metallireducens],316,316,0.83,3.00E-101,0.36,WP_068717356.1,,
Select seq XP_009526940.1,putative glycosyl hydrolase family 30 protein [Phytophthora sojae],318,318,0.89,5.00E-101,0.36,XP_009526940.1,,
Select seq WP_073338819.1,glucosylceramidase [Clostridium grantii],315,315,0.79,9.00E-101,0.36,WP_073338819.1,,
Select seq WP_060626727.1,glucosylceramidase [Paenibacillus etheri],315,315,0.83,1.00E-100,0.36,WP_060626727.1,,
Select seq XP_001994835.1,GH17457 [Drosophila grimshawi],318,318,0.82,1.00E-100,0.36,XP_001994835.1,,
Select seq XP_017091564.1,PREDICTED: glucosylceramidase [Drosophila bipectinata],317,317,0.8,2.00E-100,0.36,XP_017091564.1,,
Select seq WP_042133113.1,MULTISPECIES: glucosylceramidase [Paenibacillus],314,314,0.81,2.00E-100,0.36,WP_042133113.1,,
Select seq XP_022124138.1,glucosylceramidase-like [Pieris rapae],315,315,0.89,6.00E-100,0.36,XP_022124138.1,,
Select seq WP_013487312.1,glucosylceramidase [Bacillus cellulosilyticus],311,311,0.79,2.00E-99,0.36,WP_013487312.1,,
Select seq XP_022209409.1,glucosylceramidase [Drosophila obscura],315,315,0.81,2.00E-99,0.36,XP_022209409.1,,
Select seq XP_017480969.1,PREDICTED: glucosylceramidase [Rhagoletis zephyria],311,311,0.8,3.00E-99,0.36,XP_017480969.1,,
Select seq XP_001994836.1,GH17458 [Drosophila grimshawi],313,313,0.8,4.00E-99,0.36,XP_001994836.1,,
Select seq WP_076083374.1,glucosylceramidase [Paenibacillus sp. FSL R7-0333],310,310,0.82,6.00E-99,0.36,WP_076083374.1,,
Select seq WP_017380501.1,hypothetical protein [Paenisporosarcina sp. TG-14],310,310,0.81,6.00E-99,0.36,WP_017380501.1,,
Select seq WP_094874193.1,MULTISPECIES: glucosylceramidase [Paenibacillus],310,310,0.83,8.00E-99,0.36,WP_094874193.1,,
Select seq XP_002104585.1,uncharacterized protein Dsimw501_GD21027 [Drosophila simulans],312,312,0.8,2.00E-98,0.36,XP_002104585.1,,
Select seq WP_059282101.1,glucosylceramidase [Bacillus coahuilensis],308,308,0.83,3.00E-98,0.36,WP_059282101.1,,
Select seq XP_002054476.1,uncharacterized protein Dvir_GJ22785 [Drosophila virilis],311,311,0.8,4.00E-98,0.36,XP_002054476.1,,
Select seq WP_094920367.1,glucosylceramidase [Bacillus sp. SA5d-4],308,308,0.78,6.00E-98,0.36,WP_094920367.1,,
Select seq WP_010174597.1,glucosylceramidase [Bacillus coahuilensis],307,307,0.83,7.00E-98,0.36,WP_010174597.1,,
Select seq WP_122900307.1,glucosylceramidase [Bacillus sp. KQ-3],307,307,0.83,7.00E-98,0.36,WP_122900307.1,,
Select seq XP_011204067.1,PREDICTED: glucosylceramidase [Bactrocera dorsalis],310,310,0.8,8.00E-98,0.36,XP_011204067.1,,
Select seq WP_091064349.1,glucosylceramidase [Paenibacillus sp. NFR01],307,307,0.8,1.00E-97,0.36,WP_091064349.1,,
Select seq XP_002098461.2,uncharacterized protein Dyak_GE10386 [Drosophila yakuba],310,310,0.8,1.00E-97,0.36,XP_002098461.2,,
Select seq WP_058300328.1,glucosylceramidase [Gorillibacterium timonense],307,307,0.83,1.00E-97,0.36,WP_058300328.1,,
Select seq WP_104425205.1,glucosylceramidase [Methylobacter tundripaludum],306,306,0.83,2.00E-97,0.36,WP_104425205.1,,
Select seq XP_002098459.2,uncharacterized protein Dyak_GE10384 [Drosophila yakuba],311,311,0.79,2.00E-97,0.36,XP_002098459.2,,
Select seq WP_110045843.1,glucosylceramidase [Paenibacillus cellulosilyticus],306,306,0.8,2.00E-97,0.36,WP_110045843.1,,
Select seq WP_076309124.1,glucosylceramidase [Paenibacillus odorifer],306,306,0.8,2.00E-97,0.36,WP_076309124.1,,
Select seq WP_076130363.1,glucosylceramidase [Paenibacillus odorifer],306,306,0.8,2.00E-97,0.36,WP_076130363.1,,
Select seq WP_098446610.1,glucosylceramidase [Bacillus sp. es.036],306,306,0.79,2.00E-97,0.36,WP_098446610.1,,
Select seq WP_076138873.1,glucosylceramidase [Paenibacillus odorifer],306,306,0.8,2.00E-97,0.36,WP_076138873.1,,
Select seq WP_111503510.1,glucosylceramidase [Paenibacillus odorifer],306,306,0.8,2.00E-97,0.36,WP_111503510.1,,
Select seq WP_076277952.1,glucosylceramidase [Paenibacillus odorifer],305,305,0.8,3.00E-97,0.36,WP_076277952.1,,
Select seq WP_076274273.1,glucosylceramidase [Paenibacillus odorifer],305,305,0.8,6.00E-97,0.36,WP_076274273.1,,
Select seq WP_120114198.1,glucosylceramidase [Paenibacillus pinisoli],305,305,0.83,7.00E-97,0.36,WP_120114198.1,,
Select seq WP_038570011.1,glucosylceramidase [Paenibacillus odorifer],304,304,0.8,1.00E-96,0.36,WP_038570011.1,,
Select seq WP_076186974.1,glucosylceramidase [Paenibacillus odorifer],304,304,0.8,1.00E-96,0.36,WP_076186974.1,,
Select seq WP_076317014.1,glucosylceramidase [Paenibacillus odorifer],304,304,0.8,1.00E-96,0.36,WP_076317014.1,,
Select seq WP_076214457.1,glucosylceramidase [Paenibacillus odorifer],304,304,0.8,1.00E-96,0.36,WP_076214457.1,,
Select seq WP_123043021.1,glucosylceramidase [Cohnella sp. 18JY8-7],304,304,0.8,2.00E-96,0.36,WP_123043021.1,,
Select seq WP_012374091.1,glucosylceramidase [Opitutus terrae],304,304,0.8,2.00E-96,0.36,WP_012374091.1,,
Select seq WP_076280901.1,glucosylceramidase [Paenibacillus odorifer],303,303,0.8,3.00E-96,0.36,WP_076280901.1,,
Select seq WP_067619857.1,glucosylceramidase [Alicyclobacillus acidiphilus],303,303,0.81,4.00E-96,0.36,WP_067619857.1,,
Select seq WP_013490078.1,glucosylceramidase [Bacillus cellulosilyticus],303,303,0.79,5.00E-96,0.36,WP_013490078.1,,
Select seq XP_018795571.1,PREDICTED: glucosylceramidase [Bactrocera latifrons],305,305,0.8,1.00E-95,0.36,XP_018795571.1,,
Select seq WP_006892636.1,glucosylceramidase [Methylobacter tundripaludum],301,301,0.78,2.00E-95,0.36,WP_006892636.1,,
Select seq XP_017874257.1,PREDICTED: glucosylceramidase [Drosophila arizonae],305,305,0.79,2.00E-95,0.36,XP_017874257.1,,
Select seq WP_036689755.1,MULTISPECIES: glucosylceramidase [Paenibacillus],301,301,0.8,2.00E-95,0.36,WP_036689755.1,,
Select seq WP_026691334.1,glucosylceramidase [Bacillus aurantiacus],300,300,0.81,3.00E-95,0.36,WP_026691334.1,,
Select seq WP_068770597.1,glucosylceramidase [Opitutaceae bacterium TSB47],301,301,0.85,3.00E-95,0.36,WP_068770597.1,,
Select seq WP_027339874.1,glucosylceramidase [Halonatronum saccharophilum],300,300,0.8,6.00E-95,0.36,WP_027339874.1,,
Select seq XP_001999979.1,uncharacterized protein Dmoj_GI22782 [Drosophila mojavensis],303,303,0.79,1.00E-94,0.36,XP_001999979.1,,
Select seq WP_070734649.1,glycosyl hydrolase [Hymenobacter glacialis],298,298,0.86,7.00E-94,0.36,WP_070734649.1,,
Select seq XP_014100080.1,PREDICTED: glucosylceramidase [Bactrocera oleae],300,300,0.78,1.00E-93,0.36,XP_014100080.1,,
Select seq XP_008902345.1,hypothetical protein PPTG_09214 [Phytophthora parasitica INRA-310],300,300,0.89,2.00E-93,0.36,XP_008902345.1,,
Select seq WP_060665545.1,glucosylceramidase [Bacillus sp. CHD6a],296,296,0.79,2.00E-93,0.36,WP_060665545.1,,
Select seq WP_082939061.1,glucosylceramidase [Mitsuaria sp. 7],294,294,0.8,4.00E-93,0.36,WP_082939061.1,,
Select seq WP_109655770.1,glycosyl hydrolase [Hymenobacter nivis],295,295,0.86,2.00E-92,0.36,WP_109655770.1,,
Select seq WP_092908008.1,glycosyl hydrolase [Algoriella xinjiangensis],294,294,0.8,3.00E-92,0.36,WP_092908008.1,,
Select seq WP_088386640.1,glucosylceramidase [Roseateles aquatilis],293,293,0.84,5.00E-92,0.36,WP_088386640.1,,
Select seq WP_019975973.1,hypothetical protein [Empedobacter brevis],293,293,0.8,5.00E-92,0.36,WP_019975973.1,,
Select seq WP_011026390.1,O-glycosyl hydrolase [Caldanaerobacter subterraneus],292,292,0.79,6.00E-92,0.36,WP_011026390.1,,
Select seq WP_121439401.1,MULTISPECIES: glucosylceramidase [Terrabacteria group],292,292,0.79,1.00E-91,0.36,WP_121439401.1,,
Select seq WP_093073037.1,glucosylceramidase [Salisediminibacterium haloalkalitolerans],291,291,0.78,2.00E-91,0.36,WP_093073037.1,,
Select seq WP_089711147.1,glycosyl hydrolase [Chitinophaga costaii],291,291,0.8,3.00E-91,0.36,WP_089711147.1,,
Select seq WP_024267122.1,O-Glycosyl hydrolase family 30 [Salinispira pacifica],289,289,0.78,1.00E-90,0.36,WP_024267122.1,,
Select seq WP_044013290.1,glycosyl hydrolase [Hymenobacter sp. APR13],290,290,0.8,1.00E-90,0.36,WP_044013290.1,,
Select seq WP_038330446.1,glycosyl hydrolase [Empedobacter falsenii],290,290,0.8,1.00E-90,0.36,WP_038330446.1,,
Select seq WP_108199069.1,glycosyl hydrolase [Pedobacter sp. OK291],290,290,0.79,2.00E-90,0.36,WP_108199069.1,,
Select seq WP_003424022.1,hypothetical protein [Clostridium butyricum],288,288,0.78,2.00E-90,0.36,WP_003424022.1,,
Select seq WP_008243897.1,glycosyl hydrolase [Pedobacter sp. BAL39],289,289,0.8,2.00E-90,0.36,WP_008243897.1,,
Select seq WP_115401280.1,glycosyl hydrolase [Pedobacter sp. JDX94],289,289,0.79,2.00E-90,0.36,WP_115401280.1,,
Select seq WP_046245091.1,glycosyl hydrolase [Hymenobacter terrenus],289,289,0.8,2.00E-90,0.36,WP_046245091.1,,
Select seq WP_047797879.1,glycosyl hydrolase [Pedobacter sp. BMA],289,289,0.79,4.00E-90,0.36,WP_047797879.1,,
Select seq WP_083526061.1,glucosylceramidase [Roseateles depolymerans],286,286,0.79,5.00E-90,0.36,WP_083526061.1,,
